prompt_id,prompt
1,The capital of France is
2,"In a future where AI systems assist scientific research,"
3,FlashSVD accelerates low-rank language models by
4,The recipe begins with
5,Write a short function in Python that
6,The main reason climate models
7,"During the final inning, the pitcher"
8,"To translate this sentence into Spanish,"
9,The theorem can be applied when
10,"In a detective novel, the clue"
11,The database transaction failed because
12,A student learning linear algebra should
13,The astronaut looked out the window and
14,The best way to debug a CUDA kernel is
15,The email should sound professional but
16,"When training a language model,"
17,The museum exhibit described how
18,The meeting agenda includes
19,The philosopher argued that
20,"If the API returns a 429 error,"
